family,bz_cutoff,d,q,nr_over_bz,nr_over_bz_lower,nr_over_bz_upper,nr_over_knuth,nr_over_knuth_lower,nr_over_knuth_upper
dyn_div,88,3109,3109,0.37496655,0.36943085,0.37993945125,,,
dyn_div,88,3109,6218,0.40856,0.3956846,0.420838355,,,
dyn_div,88,3109,12436,1.3437156000000001,1.3332915,1.3537769199999998,,,
dyn_div,88,3109,24872,1.1391204,1.1281838,1.1501339549999998,,,
dyn_rem,48,48,12,2.3024018230546925,2.2898431233950176,2.3148339522941686,2.3251009967835,2.3103131860326065,2.3426177377706248
dyn_rem,48,48,24,1.7887843030838606,1.775346332546481,1.8031246235800311,1.7948173741076943,1.7895132105597304,1.7997950651807073
dyn_rem,48,48,48,1.6819769875139148,1.672249119981447,1.6934212091502012,1.6710293657616986,1.6654544265223667,1.6763021974912904
dyn_rem,48,48,96,1.6115864320136342,1.6060119759879934,1.6164284055392757,1.6402580041107044,1.629966105877493,1.6499635042816443
dyn_rem,48,48,192,2.498468937087302,2.477576325005952,2.5224120428494046,2.5140911499920637,2.5035512437422622,2.526155138484127
dyn_rem,48,48,384,3.4103018183796294,3.374899296064814,3.4504632314351857,3.3895086733201056,3.369756686574074,3.412397158769841
dyn_rem,48,64,16,1.9801669157321429,1.973287329565476,1.9879733670654758,2.0772757301320053,2.069926150035755,2.083464049166667
dyn_rem,48,64,32,1.5280413674907407,1.5237040166851852,1.5330511483694447,1.5669448770393377,1.5609109516951345,1.57217863686853
dyn_rem,48,64,64,1.5616465300988014,1.5469001745606576,1.5800215264803206,1.604193622568783,1.587340467962963,1.6255898506243387
dyn_rem,48,64,128,1.5490431481481484,1.5431690860127316,1.5562126952314814,1.7181419971428573,1.70350918005176,1.7363920411977225
dyn_rem,48,64,256,2.056231367761905,2.027937699576191,2.087699568095238,2.3093666908015877,2.2970442447142863,2.3196448011047615
dyn_rem,48,64,512,1.9431268213730157,1.9113751473087301,1.984511499048413,2.252515559920635,2.2422737130000003,2.2616960803333326
dyn_rem,48,80,20,1.969495660886838,1.93755774699572,2.008304832394329,1.985506404659486,1.9770566316606861,1.9963335839697656
dyn_rem,48,80,40,1.5851188173041475,1.5749740281720435,1.59610579584639,1.5929185548699634,1.5864033869597072,1.5995167859615382
dyn_rem,48,80,80,1.3463551162211984,1.3422413554685102,1.3504624879953917,1.5713637421103896,1.5605631863023086,1.5845537698446968
dyn_rem,48,80,160,1.4008211388180272,1.3941286873386478,1.4070544613690477,1.6184978750116716,1.6118704014852356,1.6267362640686276
dyn_rem,48,80,320,1.9655584469047618,1.9537113372777777,1.9782283926587303,2.2863232147278914,2.2796700937755103,2.293139482679422
dyn_rem,48,80,640,1.6364491223214286,1.6240280752098213,1.6510089666026784,1.9065696282341271,1.887087509111607,1.9294877198035711
dyn_rem,48,96,24,1.6154161659364168,1.604261386615524,1.6273338529159822,1.6390787071115518,1.6357159575837743,1.6426030556458446
dyn_rem,48,96,48,1.431595559680736,1.4232884941815476,1.4401118402102273,1.4207635100323937,1.4147131441324912,1.4274889455668935
dyn_rem,48,96,96,1.3094313335876622,1.303429227121212,1.315053281448187,1.4711002316190476,1.4612028802166666,1.4849651710904763
dyn_rem,48,96,192,1.5879359926587302,1.5796584023737377,1.5958199813817642,1.714313998343254,1.7034956040972222,1.7232724495446428
dyn_rem,48,96,384,1.9308504688492063,1.9221104087047618,1.9409408785714288,2.152198380730159,2.128487245267064,2.1868148438960318
dyn_rem,48,96,768,1.5857693558333332,1.5675773756527778,1.6072103314930555,1.7457555305952381,1.7356842347222223,1.756297849262897
dyn_rem,48,128,32,1.482637374647186,1.4608552054831168,1.5074217314090907,,,
dyn_rem,48,128,64,1.3460337928270387,1.3399920912315273,1.352793567676724,,,
dyn_rem,48,128,128,1.2287888472732424,1.220962097273243,1.236440723484694,,,
dyn_rem,48,128,256,1.3949748540419502,1.3868859736619898,1.4031191397562357,,,
dyn_rem,48,128,512,1.2963653063988094,1.2779192216666668,1.3169816167842263,,,
dyn_rem,48,128,1024,1.2295979140674602,1.2209946435119048,1.23744452090377,,,
dyn_rem,48,160,40,1.4875562791499584,1.476055783641082,1.4982044642757415,,,
dyn_rem,48,160,80,1.3732401229603175,1.3629743701987103,1.3837082686752975,,,
dyn_rem,48,160,160,1.24298322893254,1.234340678075397,1.2528228753570436,,,
dyn_rem,48,160,320,1.3921202222063491,1.3820847246349206,1.401580090738492,,,
dyn_rem,48,160,640,1.0451507792989418,1.03835883984127,1.0517337230555557,,,
dyn_rem,48,160,1280,1.0023334475992063,0.9948585226979167,1.009039579642857,,,
dyn_rem,48,224,56,1.2908414552294687,1.2691764841630433,1.3130739893931158,,,
dyn_rem,48,224,112,0.8725822844810744,0.8652860453905679,0.8796483132478632,,,
dyn_rem,48,224,224,1.0129423291950115,0.9994496272066328,1.0295233895238094,,,
dyn_rem,48,224,448,0.8559171087103176,0.8449765401180556,0.8706629394047618,,,
dyn_rem,48,224,896,0.8414934596626984,0.8351253720763889,0.8479595422847223,,,
dyn_rem,48,224,1792,0.8530477442460315,0.8328565637559524,0.8709245894444445,,,
dyn_rem,48,384,96,0.707325261482684,0.7004338754561688,0.7136380388660715,,,
dyn_rem,48,384,192,0.7165635903505292,0.7042373530997023,0.7315888689814813,,,
dyn_rem,48,384,384,0.8555893678042328,0.8518352324603174,0.8591651003703702,,,
dyn_rem,48,384,768,0.6653885130952382,0.6591468783333333,0.6720941480297619,,,
dyn_rem,48,384,1536,0.6337113229365079,0.6251077617797619,0.6423444178273808,,,
dyn_rem,48,384,3072,0.6302283333333333,0.6247458983333333,0.6355635666666667,,,
dyn_rem,48,787,197,0.5013648837202381,0.49052550909598214,0.5136499266369048,,,
dyn_rem,48,787,394,0.469060713234127,0.46576695973065474,0.47286949656746036,,,
dyn_rem,48,787,787,0.611307840436508,0.6049732697708333,0.6169705919365079,,,
dyn_rem,48,787,1574,0.5334086498809525,0.5275201783333333,0.5391675533541668,,,
dyn_rem,48,787,3148,0.5336545,0.52294259375,0.54529025125,,,
dyn_rem,48,787,6296,1.4040831999999999,1.384131875,1.425142615,,,
dyn_rem,48,1573,393,0.3126805311111111,0.30628773872222215,0.31902516352777777,,,
dyn_rem,48,1573,787,0.3568020646031746,0.35059348174404764,0.36242461553571426,,,
dyn_rem,48,1573,1573,0.5393808366666667,0.5343077433333334,0.5453997027499999,,,
dyn_rem,48,1573,3146,1.5163612,1.460729115,1.5744022574999998,,,
dyn_rem,48,1573,6292,1.1102832,1.0893663999999998,1.1293446,,,
dyn_rem,48,1573,12584,1.3943683999999998,1.3783876000000002,1.414610315,,,
dyn_rem,48,3109,777,0.24723689999999998,0.2436718,0.25238975583333334,,,
dyn_rem,48,3109,1555,0.3253038,0.32135265,0.3296099275,,,
dyn_rem,48,3109,3109,0.54787935,0.5428133,0.55310515375,,,
dyn_rem,48,3109,6218,1.513529,1.4802242575,1.5469863375000001,,,
dyn_rem,48,3109,12436,1.3386204,1.32614706,1.3518430049999999,,,
dyn_rem,48,3109,24872,1.1615851000000001,1.1248188975,1.2043719824999999,,,
dyn_rem,64,48,12,2.271747946541066,2.260347694927916,2.285990816050677,2.3251009967835,2.3103131860326065,2.3426177377706248
dyn_rem,64,48,24,1.7634277340405036,1.755492166332047,1.7735554250254517,1.7948173741076943,1.7895132105597304,1.7997950651807073
dyn_rem,64,48,48,1.6517413133628411,1.6470608003846152,1.6566520955149575,1.6710293657616986,1.6654544265223667,1.6763021974912904
dyn_rem,64,48,96,1.6126886031845238,1.6077133178511906,1.6193286874229165,1.6402580041107044,1.629966105877493,1.6499635042816443
dyn_rem,64,48,192,2.507209591020408,2.468523213993197,2.5558365419047617,2.5140911499920637,2.5035512437422622,2.526155138484127
dyn_rem,64,48,384,3.3648990774338627,3.3146338077159396,3.4266058867857145,3.3895086733201056,3.369756686574074,3.412397158769841
